country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Czechia,CZE,1/2/2021,13262,13262,,1256,2001,0.12,0.12,,187,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/3/2021,14176,14176,,914,1846,0.13,0.13,,172,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/4/2021,17739,17739,,3563,2029,0.17,0.17,,189,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/5/2021,22245,22245,,4506,2181,0.21,0.21,,204,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/6/2021,28042,28042,,5797,2515,0.26,0.26,,235,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/7/2021,35945,35945,,7903,3457,0.34,0.34,,323,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/8/2021,45842,45842,,9897,4834,0.43,0.43,,451,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/9/2021,47827,47827,,1985,4938,0.45,0.45,,461,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/10/2021,49533,49533,,1706,5051,0.46,0.46,,472,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/11/2021,59220,59220,,9687,5926,0.55,0.55,,553,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/12/2021,72496,72496,,13276,7179,0.68,0.68,,670,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/13/2021,85784,85784,,13288,8249,0.8,0.8,,770,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/14/2021,100448,100448,,14664,9215,0.94,0.94,,860,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/15/2021,113859,113859,,13411,9717,1.06,1.06,,907,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/16/2021,117152,117152,,3293,9904,1.09,1.09,,925,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/17/2021,120190,119569,621,3038,10094,1.12,1.12,0.01,943,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/18/2021,133851,131457,2394,13661,10662,1.25,1.23,0.02,996,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/19/2021,148518,143448,5070,14667,10860,1.39,1.34,0.05,1014,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/20/2021,163854,156224,7630,15336,11153,1.53,1.46,0.07,1041,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/21/2021,180265,170929,9336,16411,11402,1.68,1.6,0.09,1065,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/22/2021,195528,185200,10328,15263,11667,1.83,1.73,0.1,1089,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/23/2021,199180,188017,11163,3652,11718,1.86,1.76,0.1,1094,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/24/2021,202181,190164,12017,3001,11713,1.89,1.78,0.11,1094,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/25/2021,214426,199514,14912,12245,11511,2,1.86,0.14,1075,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/26/2021,228564,209736,18828,14138,11435,2.13,1.96,0.18,1068,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/27/2021,241691,218494,23197,13127,11120,2.26,2.04,0.22,1038,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/28/2021,254573,225446,29127,12882,10615,2.38,2.11,0.27,991,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/29/2021,268055,231420,36635,13482,10361,2.5,2.16,0.34,968,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/30/2021,269744,232129,37615,1689,10081,2.52,2.17,0.35,941,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,1/31/2021,271552,232817,38735,1808,9910,2.54,2.17,0.36,925,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2/1/2021,282360,236347,46013,10808,9705,2.64,2.21,0.43,906,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Czechia,CZE,2/2/2021,294692,239841,54851,12332,9447,2.75,2.24,0.51,882,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,12/27/2020,6644,6644,,,,0.11,0.11,,,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,12/28/2020,8642,8642,,1998,1998,0.15,0.15,,345,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,12/29/2020,17759,17759,,9117,5558,0.31,0.31,,960,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,12/30/2020,29396,29396,,11637,7584,0.51,0.51,,1309,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,12/31/2020,35732,35732,,6336,7272,0.62,0.62,,1255,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/1/2021,38117,38117,,2385,6295,0.66,0.66,,1087,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/2/2021,47149,47149,,9032,6751,0.81,0.81,,1166,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/3/2021,53265,53265,,6116,6660,0.92,0.92,,1150,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/4/2021,55718,55718,,2453,6725,0.96,0.96,,1161,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/5/2021,69440,69440,,13722,7383,1.2,1.2,,1275,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/6/2021,89550,89550,,20110,8593,1.55,1.55,,1484,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/7/2021,107317,107317,,17767,10226,1.85,1.85,,1765,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/8/2021,115878,115878,,8561,11109,2,2,,1918,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/9/2021,117783,117783,,1905,10091,2.03,2.03,,1742,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/10/2021,118598,118598,,815,9333,2.05,2.05,,1611,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/11/2021,119256,119256,,658,9077,2.06,2.06,,1567,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/12/2021,119716,119716,,460,7182,2.07,2.07,,1240,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/13/2021,132389,132389,,12673,6120,2.29,2.29,,1057,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/14/2021,150266,150266,,17877,6136,2.59,2.59,,1059,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/15/2021,165457,165452,5,15191,7083,2.86,2.86,0,1223,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/16/2021,170060,170048,12,4603,7468,2.94,2.94,0,1289,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/17/2021,173324,172586,738,3264,7818,2.99,2.98,0.01,1350,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/18/2021,179357,176458,2899,6033,8586,3.1,3.05,0.05,1482,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/19/2021,183976,178950,5026,4619,9180,3.18,3.09,0.09,1585,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/20/2021,187408,180468,6940,3432,7860,3.24,3.12,0.12,1357,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/21/2021,191289,181992,9297,3881,5860,3.3,3.14,0.16,1012,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/22/2021,197664,182652,15012,6375,4601,3.41,3.15,0.26,794,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/23/2021,205579,183430,22149,7915,5074,3.55,3.17,0.38,876,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/24/2021,212771,184041,28730,7192,5635,3.67,3.18,0.5,973,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/25/2021,215494,184291,31203,2723,5162,3.72,3.18,0.54,891,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/26/2021,217443,184505,32938,1949,4781,3.75,3.19,0.57,825,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/27/2021,222062,184719,37343,4619,4951,3.83,3.19,0.64,855,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/28/2021,230335,184972,45363,8273,5578,3.98,3.19,0.78,963,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/29/2021,248807,186063,62744,18472,7306,4.3,3.21,1.08,1261,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/30/2021,262349,187251,75098,13542,8110,4.53,3.23,1.3,1400,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,1/31/2021,275084,188440,86644,12735,8902,4.75,3.25,1.5,1537,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Denmark,DNK,2/1/2021,282894,189148,93746,7810,9629,4.88,3.27,1.62,1662,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-02022021-byd8
Ecuador,ECU,1/21/2021,0,,,,,0,,,,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
Ecuador,ECU,1/22/2021,108,,,108,108,0,,,6,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
Ecuador,ECU,1/23/2021,,,,,294,,,,17,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
Ecuador,ECU,1/24/2021,,,,,355,,,,20,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
Ecuador,ECU,1/25/2021,,,,,386,,,,22,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
Ecuador,ECU,1/26/2021,,,,,405,,,,23,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
Ecuador,ECU,1/27/2021,,,,,417,,,,24,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
Ecuador,ECU,1/28/2021,2982,,,,426,0.02,,,24,Pfizer/BioNTech,Government of Ecuador,https://twitter.com/salud_ec/status/1354577588866457600?s=21
Egypt,EGY,1/24/2021,0,,,,,0,,,,Sinopharm,Ministry of Health,"http://english.ahram.org.eg/NewsContent/1/64/399964/Egypt/Politics-/,-medical-staff-vaccinated-against-COVID-in-first-.aspx"
Egypt,EGY,1/25/2021,,,,,219,,,,2,Sinopharm,Ministry of Health,"http://english.ahram.org.eg/NewsContent/1/64/399964/Egypt/Politics-/,-medical-staff-vaccinated-against-COVID-in-first-.aspx"
Egypt,EGY,1/26/2021,,,,,219,,,,2,Sinopharm,Ministry of Health,"http://english.ahram.org.eg/NewsContent/1/64/399964/Egypt/Politics-/,-medical-staff-vaccinated-against-COVID-in-first-.aspx"
Egypt,EGY,1/27/2021,,,,,219,,,,2,Sinopharm,Ministry of Health,"http://english.ahram.org.eg/NewsContent/1/64/399964/Egypt/Politics-/,-medical-staff-vaccinated-against-COVID-in-first-.aspx"
Egypt,EGY,1/28/2021,,,,,219,,,,2,Sinopharm,Ministry of Health,"http://english.ahram.org.eg/NewsContent/1/64/399964/Egypt/Politics-/,-medical-staff-vaccinated-against-COVID-in-first-.aspx"
Egypt,EGY,1/29/2021,,,,,219,,,,2,Sinopharm,Ministry of Health,"http://english.ahram.org.eg/NewsContent/1/64/399964/Egypt/Politics-/,-medical-staff-vaccinated-against-COVID-in-first-.aspx"
Egypt,EGY,1/30/2021,1315,,,,219,0,,,2,Sinopharm,Ministry of Health,"http://english.ahram.org.eg/NewsContent/1/64/399964/Egypt/Politics-/,-medical-staff-vaccinated-against-COVID-in-first-.aspx"
England,,12/20/2020,570199,570199,,,,1.01,1.01,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/21/2020,,,,,37897,,,,673,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/22/2020,,,,,37897,,,,673,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/23/2020,,,,,37897,,,,673,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/24/2020,,,,,37897,,,,673,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/25/2020,,,,,37897,,,,673,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/26/2020,,,,,37897,,,,673,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/27/2020,835475,835475,,,37897,1.48,1.48,,673,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/28/2020,,,,,39559,,,,703,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/29/2020,,,,,41221,,,,732,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/30/2020,,,,,42884,,,,762,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,12/31/2020,,,,,44546,,,,791,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/1/2021,,,,,46209,,,,821,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/2/2021,,,,,47871,,,,850,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/3/2021,1182209,1161742,20467,,49533,2.1,2.06,0.04,880,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/4/2021,,,,,65958,,,,1172,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/5/2021,,,,,82383,,,,1464,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/6/2021,,,,,98808,,,,1755,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/7/2021,,,,,115233,,,,2047,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/8/2021,,,,,131658,,,,2339,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/9/2021,,,,,148083,,,,2631,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/10/2021,2333764,1959151,374613,,164508,4.15,3.48,0.67,2923,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/11/2021,2474205,2080280,393925,140441,161070,4.4,3.7,0.7,2862,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/12/2021,2661850,2254556,407294,187645,164375,4.73,4.01,0.72,2920,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/13/2021,2910027,2494371,415656,248177,176328,5.17,4.43,0.74,3133,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/14/2021,3189674,2769164,420510,279647,192776,5.67,4.92,0.75,3425,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/15/2021,3514385,3090058,424327,324711,215662,6.24,5.49,0.75,3831,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/16/2021,3791594,3365492,426102,277209,231763,6.74,5.98,0.76,4118,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/17/2021,3947442,3520056,427386,155848,230525,7.01,6.25,0.76,4096,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/18/2021,4118342,3687206,431136,170900,234877,7.32,6.55,0.77,4173,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/19/2021,4419704,3985579,434125,301362,251122,7.85,7.08,0.77,4461,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/20/2021,4740578,4303730,436848,320874,261507,8.42,7.65,0.78,4646,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/21/2021,5100475,4661293,439182,359897,272972,9.06,8.28,0.78,4850,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/22/2021,5526071,5085771,440300,425596,287384,9.82,9.04,0.78,5106,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/23/2021,5970175,5529101,441074,444104,311226,10.61,9.82,0.78,5529,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/24/2021,6169377,5727693,441684,199202,317419,10.96,10.18,0.78,5639,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/25/2021,6405554,5962544,443010,236177,326745,11.38,10.59,0.79,5805,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/26/2021,6665861,6221850,444011,260307,320880,11.84,11.05,0.79,5701,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/27/2021,6918853,6473752,445101,252992,311182,12.29,11.5,0.79,5528,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/28/2021,7263317,6816945,446372,344464,308977,12.9,12.11,0.79,5489,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/29/2021,7701203,7253305,447898,437886,310733,13.68,12.89,0.8,5521,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/30/2021,8251146,7792996,458150,549943,325853,14.66,13.85,0.81,5789,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,1/31/2021,8543262,8082355,460907,292116,339126,15.18,14.36,0.82,6025,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
England,,2/1/2021,8825371,8362868,462503,282109,345688,15.68,14.86,0.82,6142,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,12/28/2020,207,,,,,0.02,,,,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
Estonia,EST,12/29/2020,516,,,309,309,0.04,,,233,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
Estonia,EST,12/30/2020,884,,,368,338,0.07,,,255,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
Estonia,EST,12/31/2020,1907,,,1023,567,0.14,,,427,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
Estonia,EST,1/1/2021,2487,,,580,570,0.19,,,430,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
Estonia,EST,1/2/2021,,,,,459,,,,346,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
Estonia,EST,1/3/2021,2517,,,,385,0.19,,,290,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
Estonia,EST,1/4/2021,2535,,,18,333,0.19,,,251,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
Estonia,EST,1/5/2021,3188,,,653,382,0.24,,,288,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
Estonia,EST,1/6/2021,5009,,,1821,589,0.38,,,444,Pfizer/BioNTech,National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-2-veebruar-oopaevaga-lisandus-467-positiivset-testi
